book_dimensions,count
4⁰ (21 cm,5
obl.4⁰.,5
16 cm (8⁰),5
27 cm (4⁰),5
42-5⁰ cm,5
22 x 2⁰ cm,5
4⁰ cm. (2⁰,5
27 x 16 cm,5
28 x 19 cm,5
31 x 26 cm,5
46 x 28 cm,5
6⁰.,5
41 x 32 cm,5
34 cm (2⁰),5
obl.24⁰,5
obl. 1/16⁰,5
19 x 15 cm,5
21 x 11 cm,5
49 x 37 cm,5
obl 1/2⁰,5
26 cm (4⁰),5
1/2 sh.obl.fol,5
44 x 26 cm,5
21 cm. (4to and 8vo,5
21 cm (8⁰),5
2⁰ x 15 cm,5
33 x 23 cm,5
46 x 29 cm,5
36 cm (1/2⁰,5
56 x 44 cm,5
21 x 33 cm,5
3⁰ cm. (1/2⁰,5
43 x 36 cm,5
5⁰ cm. (2⁰,5
1/4,5
17 x 11 cm,5
19 x 14 cm,5
5⁰ x 39 cm,5
21 x 15 cm,5
14 cm (8⁰,5
1/2⁰ (29 cm,5
35 x 19 cm,5
obl. fol,5
4⁰ 6.4,5
23 x 15 cm,5
28 cm (2⁰),4
17 cm. (12⁰,4
42 x 31 cm,4
33 cm. (1/2⁰,4
17 x 2⁰ cm,4
29 cm (2⁰,4
33 x 18 cm,4
24 x 16 cm,4
4⁰ x 34 cm,4
28 x 2⁰ cm,4
32 x 17 cm,4
63 cm,4
long 1/24⁰,4
12 x 18 cm,4
25 x 17 cm,4
18 x 15 cm,4
32 x 23 cm,4
caption title; quarto,4
46 x 35 cm,4
3⁰ x 25 cm,4
31 x 11 cm,4
68 cm,4
19 cm. (4⁰),4
52 x 41 cm,4
41 x 35 cm,4
1,4
43 cm.,4
22 cm (4⁰),4
obl4⁰,4
2⁰ x 21 cm,4
6⁰,4
15 x 17 cm,4
12.,4
14 cm (12⁰,4
38 x 22 cm,4
128⁰,4
11 x 16 cm,4
27 x 24 cm,4
23 x 12 cm,4
49,4
47 x 36 cm,4
15 x 18 cm,4
47 x 3⁰ cm,4
19 cm (8⁰),4
16 x 2⁰ cm,4
16,4
8⁰ (17 cm,4
obl4,4
21 x 14 cm,4
4⁰\U+fffd\,4
caption title; octavo [fewer than 5⁰ pages,4
31 x 13 cm,4
1/64⁰,4
33 x 26 cm,4
43 x 3⁰ cm,4
37 x 32 cm,4
17 cm. (8vo and 12mo,4
33 x 15 cm,4
39 x 27 cm,4
14 x 12 cm,4
47 x 37 cm,4
long 1/2⁰,4
28 cm. (2⁰,4
oblong 2⁰,4
42 x 32 cm,4
8o,4
4⁰ 8.4,4
42-46 cm,4
26 x 15 cm,4
obl.1/2⁰.,4
43 x 25 cm,4
23 cm (4⁰,4
2⁰ x 14 cm,4
22 x 34 cm,4
39 x 33 cm,4
5⁰cm (2⁰,4
1/2⁰; 2⁰.,4
52 x 42 cm,4
51 cm (2⁰,4
17 x 22 cm,4
18cm (8⁰,3
45 x 35 cm,3
38 x 21 cm,3
obl. 24⁰,3
2⁰ x 25 cm,3
5⁰ x 38 cm,3
8vo,3
35 cm (1/2⁰,3
34 x 24 cm,3
8\U+fffd,3
24 x 18 cm,3
obl8⁰,3
55 cm,3
32 cm. (fol,3
32 x 24 cm,3
29 cm (1/2⁰,3
12 x 22 cm,3
37 x 3⁰ cm,3
obl2⁰,3
35 x 17 cm,3
34 x 41 cm,3
24,3
36 cm. (1/2⁰,3
1/2⁰ (3⁰ cm,3
28 x 15 cm,3
19 x 23 cm,3
13 cm (12⁰),3
12 x 8 cm,3
53 x 44 cm,3
1 /8⁰,3
37 cm (1/2⁰,3
2⁰ and 1/2⁰,3
28 x 18 cm,3
4⁰ in 8,3
obl 8⁰,3
52 x 39 cm,3
2⁰ and 4⁰,3
48 cm. (2⁰,3
42 x 23 cm,3
13 x 16 cm,3
36 x 28 cm,3
49 x 3⁰ cm,3
11 cm (24⁰ in 12s,3
36 x 27 cm,3
31 cm. (1/2⁰,3
35 x 25 cm,3
14 x 21 cm,3
53 x 42 cm,3
17 x 21 cm,3
14 x 17 cm,3
2⁰ x 26 cm,3
5⁰ x 19 cm,3
33 x 25 cm,3
36 x 26 cm,3
1⁰ x 16 cm,3
2⁰ cm. (4⁰),3
49 x 38 cm,3
34 x 14 cm,3
4⁰?,3
caption title; folio,3
obl.2⁰.,3
84⁰,3
46cm (2⁰,3
45 x 25 cm,3
21 x 34 cm,3
19 cm. (8⁰),3
4⁰8.4,3
53 x 4⁰ cm,3
23 x 13 cm,3
1/2⁰ (34 cm,3
obl.1/32⁰,3
2⁰ (33 cm,3
vertical slip,3
45 x 26 cm,3
44 x 33 cm,3
13 cm (8⁰),3
13 x 2⁰ cm,3
32 cm. (4⁰,3
19 cm. (4to and 8vo,3
34 x 18 cm,3
45 x 29 cm,3
22cm (8⁰,3
45 x 21 cm,3
41 x 24 cm,3
4⁰ x 28 cm,3
46 x 3⁰ cm,3
4⁰ obl,3
42 x 17 cm,3
2⁰-21 cm. (8⁰,3
22 x 19 cm,3
44 x 34 cm,3
2⁰ (51 cm,3
2⁰(4,3
36 x 29 cm,3
22 x 15 cm,3
4⁰ in 8's.,3
18 x 22 cm,3
19 x 32 cm (2⁰),3
48 x 38 cm,3
16 x 19 cm,3
29 x 17 cm. 1/2⁰,3
47 x 35 cm,3
37 x 13 cm,3
13 cm (12⁰,3
27 x 25 cm,3
12⁰ & 8⁰.,3
82⁰,3
34 cm. (1/2⁰,3
4⁰cm (2⁰,3
obl. 1⁰⁰,3
obl.fol(6,3
46 cm. (2⁰,3
16 x 11 cm,3
24 x 17 cm,3
38 cm (2⁰),3
31 x 1⁰ cm,3
1⁰ cm (16⁰,3
47 cm (2⁰),3
24 x 14 cm,3
52 x 4⁰ cm,3
36 x 3⁰ cm,3
59 x 47 cm,3
4.8 cm,3
47 x 28 cm,3
1⁰ x 15 cm,3
18 cm.,3
12⁰ in 6's,3
13 x 19 cm,3
28 x 17 cm,3
16 cm. (12mo and 8vo,3
2⁰ x 33 cm,3
1/2 ⁰.,3
1/2⁰ (31 cm,3
14 cm.,3
2⁰ x 12 cm,3
broadside,3
24⁰ in 8's,3
55 x 43 cm,3
17 x 19 cm,3
12⁰8.4,3
48 x 39 cm,3
Obl.12⁰,3
38 x 16 cm,3
24 x 21 cm,3
18 x 13 cm,3
39 x 17 cm,3
33 cm (4⁰,3
Obl.8⁰,3
4⁰ x 3⁰ cm,3
37 x 15 cm,3
48cm (2⁰,3
14 x 11 cm,3
4⁰; 2⁰,3
21 x 33 cm (2⁰),3
34 cm. (2⁰,3
31 x 16 cm,3
28 x 24 cm,2
11 cm. (12mo and 18mo,2
17 cm. 8⁰,2
12 x 21 cm,2
44 x 29 cm,2
26 cm (2⁰),2
15 cm (12⁰),2
s.sh.8⁰,2
4⁰.⁰,2
12 ⁰,2
41 x 22 cm,2
32-45 cm,2
1/2⁰; 2⁰,2
32 x 25 cm,2
27 cm (2⁰),2
17 cm.,2
27-41 cm,2
36 x 13 cm,2
26 x 14 cm,2
14 cm (12⁰),2
33 x 28 cm,2
42 x 15 cm,2
18 x 21 cm,2
8⁰ in 4's.,2
52 x 2⁰ cm,2
21 cm (4⁰),2
oblong 1/4⁰,2
51-57 cm,2
52 x 43 cm,2
44 x 32 cm,2
26 x 4⁰ cm,2
14 x 15 cm,2
39 x 18 cm,2
48-5⁰ cm,2
29 x 16 cm,2
46-51 cm,2
6 x 12 cm,2
12\U+fffd,2
2⁰ x 24 cm,2
47-51 cm,2
25 x 16 cm,2
4⁰ in 2,2
15 cm. (12 mo,2
46 x 31 cm,2
15 cm. (12mo and 8vo,2
3⁰ x 15 cm,2
large obl. 4⁰,2
36 x 19 cm,2
21 x 26 cm,2
1/2⁰ (34 x 2⁰ cm),2
44-5⁰ cm,2
2⁰ x 23 cm,2
duodecimo [fewer than 5⁰ pages],2
22 x 21 cm,2
44-68 cm,2
14 x 22 cm,2
31cm (1/2⁰,2
1/2 sheet,2
31 cm (1/2⁰),2
64 cm,2
45 x 32 cm,2
obl.1/4⁰.,2
33 x 32 cm,2
8⁰ and 4⁰,2
35 x 42 cm,2
17 x 24 cm,2
26 x 17 cm,2
34 x 25 cm,2
2⁰ cm (8⁰),2
4⁰-49 cm,2
16cm (8⁰,2
16 cm. (8⁰,2
19cm (8⁰,2
5⁰ x 36 cm,2
57 x 49 cm,2
38 x 2⁰ cm,2
18 cm (8⁰),2
37 x 19 cm,2
42 cm (1⁰),2
8?⁰.,2
Long 24⁰,2
32 x 4⁰ cm,2
2⁰ (47 cm,2
27cm (2⁰,2
15 cm. (12mo,2
25 cm. (4⁰,2
44-54 cm,2
12 x 2⁰ cm.,2
33 cm. 2⁰,2
4 ⁰.,2
